mp-ID,Formula,SynthNN_score
mp-3775,Na2SiF6,0.9529645
mp-3778,Mg3(Al9Cr)2,0.58288985
mp-3779,CrSiTe3,0.24458575
mp-3782,Nd3Sb5O12,0.9082823
mp-3787,RbFe2S3,0.9198734
mp-3788,SrAl4O7,0.9806713
mp-3789,Zn2SiO4,0.9878451
mp-3790,SrNb8O14,0.5593275
mp-3792,YAlO3,0.96874714
mp-3797,K3AsS4,0.76824385
mp-3799,GdSF,0.73218435
mp-3816,Er6Ni2Sn,0.3412045
mp-3817,La2Au5F21,0.6404701
mp-3821,K2PtF6,0.52981967
mp-3826,Ce(SiPd)2,0.8527966
mp-3827,KFeS2,0.8593151
mp-3828,BaAl2O4,0.94956785
mp-3831,SmPO4,0.98008657
mp-3848,BaGe4O9,0.9220439
mp-3859,Ca2B2O5,0.9940836
mp-3867,Pr2Co7B3,0.8915441
mp-3868,Pr6Fe13Ag,0.56161326
mp-3870,Sr2Nb2O7,0.9941883
mp-3879,Ba2CuF6,0.97894603
mp-3880,Cr2CuSe4,0.95674443
mp-3884,Ho2Sn2O7,0.78321075
mp-3890,Sm2Cr2Fe15,0.9163557
mp-3891,EuTl2Pd,0.040740218
mp-3897,SmPS4,0.93006307
mp-3901,NdNbO4,0.9941723
mp-3910,Ce(Al10Cr)2,0.8722248
mp-3917,Cd2GeO4,0.46098986
mp-3919,KBO2,0.900632
mp-3922,AgSbS2,0.9061944
mp-3925,Co2CuS4,0.460327
mp-3928,Na5P3O10,0.97373104
mp-3930,Sc2MnS4,0.87705314
mp-3941,LiYF4,0.9524278
mp-3943,BaTi2O5,0.9939672
mp-3949,K7LiSi8,0.052897498
mp-3952,BaY2O4,0.9046755
mp-3954,PrPS4,0.9333047
mp-3955,AlPO4,0.9580804
mp-3956,Sr3UO6,0.9829327
mp-3962,LaPO4,0.99034786
mp-3963,K2CO3,0.29665795
mp-3967,NaNO,0.012290531
mp-3970,K2TiF6,0.98488414
mp-3972,Ce2SO2,0.45834634
mp-3975,K2TaF7,0.98480463
mp-3977,CsB3O5,0.9643753
mp-3978,SrSiO3,0.96386325
mp-3980,LiSbF6,0.8942553
mp-3996,GaAsO4,0.7379849
mp-4002,Li2ZrF6,0.9848919
mp-4016,TlGaS2,0.9550558
mp-4019,CaTiO3,0.9934968
mp-4035,RbReO4,0.9585414
mp-4047,Cs2SiF6,0.98493004
mp-4048,Sr6(RhO3)5,0.00136555
mp-4049,U2P2O9,0.9647499
mp-4050,Eu(AsRu)2,0.019224921
mp-4052,Rb2Mn3Se4,0.9023998
mp-4057,CsBF4,0.96760654
mp-4066,KGaO2,0.84670264
mp-4068,Na2GeS3,0.95312333
mp-4077,Cd(CN)2,0.06602678
mp-4086,La2Sn2O7,0.5389973
mp-4090,Ce(SiRh)2,0.7912583
mp-4091,Ni2Mo3N,0.20448151
mp-4092,SrSeO4,0.9820209
mp-4093,Cu3(PO4)2,0.057520144
mp-4096,CeAlO3,0.9452449
mp-4100,Ca4IrO6,0.7226933
mp-4103,Sr2Sb2O7,0.84895444
mp-4107,Li(CoGe)6,0.20439175
mp-4112,Tl2SO4,0.30542257
mp-4117,Li2Si2O5,0.9798323
mp-4122,GaPO4,0.9821041
mp-4135,RbPO3,0.9803966
mp-4136,CePO4,0.90666914
mp-4138,Rb2CO3,0.53679436
mp-4139,Nb4GaS8,0.59964246
mp-4150,Ca(MnSb)2,0.046039265
mp-4157,Sr(NO3)2,0.15126713
mp-4163,Ca3Ti2O7,0.9897183
mp-4164,Nd2Co14B,0.4640089
mp-4169,USiO4,0.9662779
mp-4180,Ca2SiO4,0.98537976
mp-4185,Na3ScF6,0.91413546
mp-4190,CaSnO3,0.77912563
mp-4194,Zn(CrS2)2,0.13988107
mp-4199,Na2S2O3,0.08823638
mp-4202,BaAl2O4,0.94956785
mp-4206,UAs2Pd,0.59607714
mp-4207,USb2Pd,0.4299055
mp-4214,Lu2Fe14B,0.9595541
mp-4219,CeGeAu,0.57469183
mp-4223,Na3PO4,0.9414809
mp-4236,BaZnO2,0.8973591
mp-4238,MnFeAs,0.64160705
mp-4240,RbCeTe2,0.6548242
mp-4242,U3(CuGe)4,0.02305377
mp-4252,SnPS3,0.7035049
mp-4264,K2S2O5,0.07012534
mp-4266,KAsF6,0.9212286
mp-4271,EuTaO4,0.99418616
mp-4274,SrTeO4,0.9849925
mp-4279,CaGe2O5,0.9358367
mp-4287,Sr2SnO4,0.9138415
mp-4297,U(GePd)2,0.66280246
mp-4298,Tm(MnSn)6,0.20449512
mp-4307,BaIrO3,0.973178
mp-4309,BaGa4S7,0.95472294
mp-4320,CuTeO3,0.5303568
mp-4325,Zr(SO4)2,0.97260904
mp-4338,Cr2CdS4,0.8603968
mp-4350,La2(SeO3)3,0.0919153
mp-4351,K2B2S7,0.028242081
mp-4360,NaCdF3,0.5593966
mp-4361,K4Ta2S11,0.4891146
mp-4374,UAsS,0.035042357
mp-4376,BaAlF5,0.94693005
mp-4377,K2TbF6,0.41247544
mp-4383,Nd2Fe17N3,0.51369435
mp-4393,Cs4U5O17,0.908243
mp-4394,Pr2Sn2O7,0.97768915
mp-4396,Ba(NO3)2,0.22845946
mp-4408,Sm2Zr2O7,0.9477645
mp-4409,Cu(RhO2)2,0.63585705
mp-4417,Al2(SO4)3,0.13780564
mp-4421,LaTaO4,0.98745745
mp-4423,La2Ti2O7,0.96836376
mp-4428,CaSiO3,0.9885289
mp-4429,CaSiO3,0.9885289
mp-4433,Ce(SiIr)2,0.96254706
mp-4434,TbAlO3,0.99413574
mp-4438,CaSnO3,0.77912563
mp-4449,Tl2SeO4,0.3340757
mp-4450,UPS,0.020847285
mp-4454,CeCo3B2,0.93604565
mp-4459,Ce2Fe14B,0.9644638
mp-4474,V4GaS8,0.46983498
mp-4481,Ca2SiO4,0.98537976
mp-4482,NaSbO3,0.87843966
mp-4492,MnCo2Si,0.4405145
mp-4502,Ta6Si7Ni16,0.081074186
mp-4527,Li8SnO6,0.575216
mp-4529,K2SO4,0.905683
mp-4534,NaCO2,0.19041623
mp-4537,Ce(SiNi)2,0.9135126
mp-4544,Ba2CoS3,0.8219108
mp-4561,UAl3Pd2,0.6780531
mp-4571,CaZrO3,0.9941829
mp-4575,MgGeO3,0.8867172
mp-4577,Y3(AlNi3)2,0.70904136
mp-4578,Sr2GeS4,0.925064
mp-4589,PrPO4,0.9335602
mp-4590,Mg(GaO2)2,0.005914357
mp-4591,SrNb2O6,0.9941884
mp-4597,Y2B5Pd14,0.38000444
mp-4598,Sr4PtO6,0.21855767
mp-4602,Tb2Ti2O7,0.9901812
mp-4603,Nd3Co13B2,0.8990279
mp-4604,Li7VN4,0.51251805
mp-4606,U(Al2Fe)4,0.617887
mp-4608,KPF6,0.9679155
mp-4618,Rb2SeO4,0.62587476
mp-4627,CoAsS,0.03220864
mp-4630,Li2RuO3,0.9769507
mp-4634,LaNi4B,0.91887134
mp-4643,Nb2CuO6,0.99418855
mp-4648,KTeF5,0.7291635
mp-4649,PdSe2O5,0.9486006
mp-4655,SrTl2O4,0.326483
mp-4657,Li5GaO4,0.55421823
mp-4659,Cd(PO3)2,0.20633891
mp-4668,K(CoSe)2,0.003580377
mp-4669,Th(MoO4)2,0.88652563
mp-4672,TbPS4,0.9152909
mp-4674,BNF8,0.44384542
mp-4676,La3(B3Ru4)2,0.4170884
mp-4690,K3TaO8,0.08335873
mp-4693,RbAlF4,0.98472947
mp-4697,Zn(CrSe2)2,0.21853873
mp-4710,Hg3(BO3)2,0.028245268
mp-4731,K2UF6,0.97134656
mp-4733,ThTi2O6,0.9126015
mp-4735,TbCo9Si4,0.10968989
mp-4736,NdP5O14,0.8418029
mp-4747,Ca2SnO4,0.9581239
mp-4752,Na5Al3F14,0.9765513
mp-4757,KReO4,0.9438472
mp-4758,K2NbF7,0.9670469
mp-4759,ZrTe3O8,0.7774221
mp-4767,Ce(SiOs)2,0.38132948
mp-4768,Eu(SiNi)2,0.6737018
mp-4769,SiP2O7,0.95397973
mp-4770,Na2SO4,0.933706
mp-4779,Li2B4O7,0.95331776
mp-4782,CaSnF6,0.97504336
mp-4785,CeAl3Pd2,0.95973456
mp-4793,U(SiPd)2,0.55332345
mp-4794,Sm2As4O9,0.77544117
mp-4796,GdScGe,0.18694417
mp-4800,Ca11(CN5)2,0.04285833
mp-4802,La4Re6O19,0.21141006
mp-4807,AgAsF7,0.59856504
mp-4816,LaGaS3,0.9242655
mp-4817,CeAl5Ni2,0.89097166
mp-4818,Rb2Sb4S7,0.93081796
mp-4825,Li7VN4,0.51251805
mp-4829,Na2ThF6,0.9880783
mp-4841,LaCuS2,0.8789299
mp-4843,CeZrO4,0.9235519
mp-4851,Sr(GaO2)2,0.002679658
mp-4855,Li2SeO4,0.38818902
mp-4867,CaAl4O7,0.9797021
mp-4870,Cu(BO2)2,0.94855803
mp-4871,ErP5O14,0.8597794
mp-4873,Ce2TeO2,0.24997185
mp-4875,GdTaO4,0.9941884
mp-4876,Tl3SbSe3,0.8005925
