,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24363,mp-777232,-1,24875,O,0.8468198764613707,0.0
24364,mp-777233,-1,24875,F,0.8468198764613707,0.0
24365,mp-777235,-1,24875,Cu,0.8468198764613707,0.0
24366,mp-777241,-1,24875,O,0.8468198764613707,0.0
24367,mp-777252,-1,24875,F,0.8468198764613707,0.0
24368,mp-777258,-1,24875,F,0.8468198764613707,0.0
24369,mp-777267,-1,24875,V,0.8468198764613707,0.0
24370,mp-777269,-1,24875,Li,0.8468198764613707,0.0
24371,mp-777270,-1,24875,Li,0.8468198764613707,0.0
24372,mp-777273,-1,24875,O,0.8468198764613707,0.0
24373,mp-777279,-1,24875,Fe,0.8468198764613707,0.0
24374,mp-777289,-1,24875,Li,0.8468198764613707,0.0
24375,mp-777291,-1,24875,Li,0.8468198764613707,0.0
24376,mp-777293,-1,24875,O,0.8468198764613707,0.0
24377,mp-777294,-1,24875,Bi,0.8468198764613707,0.0
24378,mp-777295,104,14,Cr,0.7086971811094128,1.0
24379,mp-777296,-1,24875,O,0.8468198764613707,0.0
24380,mp-777297,-1,24875,N,0.8468198764613707,0.0
24381,mp-777298,-1,24875,Li,0.8468198764613707,0.0
24382,mp-777299,40,20,Fe,0.32806762266353195,0.6358725993806883
24383,mp-777308,-1,24875,O,0.8468198764613707,0.0
24384,mp-777310,-1,24875,O,0.8468198764613707,0.0
24385,mp-777312,-1,24875,O,0.8468198764613707,0.0
24386,mp-777314,-1,24875,N,0.8468198764613707,0.0
24387,mp-777320,-1,24875,Li,0.8468198764613707,0.0
24388,mp-777326,-1,24875,Mn,0.8468198764613707,0.0
24389,mp-777331,-1,24875,O,0.8468198764613707,0.0
24390,mp-777333,-1,24875,V,0.8468198764613707,0.0
24391,mp-777337,101,51,V,0.43059447004970575,0.7161151915604208
24392,mp-777342,101,51,V,0.43059447004970575,0.7680068437686367
24393,mp-777343,46,85,Fe,0.44910243420100526,0.8759044390801085
24394,mp-777347,46,85,Fe,0.44910243420100526,0.8710935885916257
